id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	Bile_Acid_STD_HILICpos
F1	67.7977	25.39	24.47	26.44	0	1506987	1.0	0.99	184	1	1522993
F2	67.7988	25.52	24.6	26.17	1	883322	1.0	0.99	130	1	925234
F3	92.0589	28.8	27.23	30.25	286	7016338	1.0	1.0	685	1	7012937
F7	94.0485	28.67	27.88	29.46	291	3150100	1.0	0.99	456	1	3240851
F8	69.0454	0.76	0.24	1.42	7	4725042	1.0	0.98	4	1	6519490
F9	69.7989	25.91	25.12	26.7	8	816353	1.0	0.99	109	1	829357
F14	118.0844	246.42	245.89	246.94	578	1009165	1.0	0.88	68	1	1018167
F18	95.0609	0.63	0.11	1.29	295	2195039	1.0	0.92	3	1	4647908
F23	70.2841	28.54	27.49	29.46	10	2577899	1.0	0.98	325	1	2639972
F24	95.0861	27.23	25.65	28.67	296	6793301	1.0	0.98	62	1	6694051
F25	70.8113	25.91	24.6	27.09	11	2265151	1.0	1.0	249	1	2285159
F29	96.0483	42.46	40.88	44.03	299	263856977	1.0	0.9	17	1	263881977
F30	141.0771	0.5	0.11	1.16	833	1202235	1.0	0.91	140	1	1211239
F31	71.061	0.63	0.24	1.03	15	10714032	1.0	0.91	58	1	10798614
F32	141.0911	27.88	26.31	28.41	834	1482968	0.72	0.77	62	1	1535856
F34	72.045	299.67	298.09	300.33	20	6815550	0.96	0.94	22	1	6887460
F35	72.045	301.25	300.33	301.9	20	6332426	0.96	0.75	23	1	6409578
F36	72.045	302.56	301.9	304.14	20	7376082	0.96	0.82	23	1	7418516
F39	141.1023	0.63	0.24	1.16	835	19451054	1.0	0.98	74	1	19737572
F43	118.1423	2.34	1.68	3.92	593	4069502	1.0	0.76	63	1	4116999
F44	118.3146	28.93	27.36	30.51	594	33616968	1.0	0.95	2618	1	33641968
F45	118.3173	28.93	27.36	30.51	595	27301276	1.0	0.96	2267	1	27326276
F46	118.5655	28.67	27.49	30.25	596	8156809	1.0	0.95	570	1	8226922
F49	118.568	29.06	27.49	30.64	597	7453610	1.0	0.96	553	1	7508987
F50	97.0477	41.93	41.28	42.59	310	913530	1.0	0.97	137	1	966375
F51	97.0515	42.33	40.75	43.77	312	4911932	0.94	0.93	19	1	4970489
F52	141.9547	1.03	0.5	1.55	839	1469978	1.0	0.96	295	1	1478983
F53	119.0495	26.7	25.78	28.28	600	2214522	1.0	0.94	67	1	2234531
F56	72.7029	25.78	24.73	26.83	24	3196767	1.0	0.99	364	1	3213773
F57	72.7042	25.91	24.86	27.36	25	2278489	1.0	0.97	247	1	2305474
F58	72.8145	25.78	24.99	26.96	26	1031752	1.0	0.98	121	1	1054576
F59	119.0608	0.37	0.11	0.9	601	792190	1.0	0.88	4	1	800069
F60	119.0689	28.8	27.88	29.46	602	1787210	1.0	0.98	316	1	1791434
F63	97.0652	27.49	25.91	28.67	313	5419853	0.93	0.95	15	1	5331735
F66	119.0837	250.1	243.4	254.56	604	8426656	0.86	0.72	44	1	8512656
F67	119.0858	28.67	27.09	30.25	605	871871817	1.0	0.98	11997	1	871896817
F68	142.0299	42.06	40.75	43.51	844	13379318	1.0	0.9	32	1	13401318
F71	142.0351	409.44	403.67	440.7	845	17570880	1.0	0.74	78	1	17842573
F73	142.0865	0.5	0.24	1.03	846	852231	0.83	0.88	8	1	945638
F74	73.0767	0.63	0.11	1.42	29	49659041	1.0	0.99	83	1	50603130
F75	73.0767	2.6	1.95	3.52	29	6686126	1.0	0.83	5	1	7801867
F77	142.0976	0.76	0.11	1.16	847	8352594	1.0	0.77	33	1	8573941
F81	73.7165	25.52	24.07	27.09	32	6914195	1.0	0.96	10	1	7383147
F83	73.7177	25.52	24.21	27.09	33	4935934	1.0	0.97	13	1	4949521
F85	97.0765	0.63	0.24	1.16	316	31177844	1.0	0.97	9	1	37419673
F87	73.828	25.52	23.94	27.09	35	3110758	1.0	0.95	10	1	3124022
F88	120.046	42.72	42.33	43.24	613	1364674	1.0	0.88	32	1	1372676
F90	98.0141	1.42	1.03	1.81	321	47110119	1.0	0.98	13955	1	47117119
F91	142.9386	361.25	359.68	362.04	850	6987852	0.97	0.98	46	1	7004914
F92	142.9386	363.22	362.04	364.8	850	9154023	0.92	0.96	43	1	9236916
F93	98.0441	42.19	40.62	43.77	322	11091477	0.89	0.89	15	1	11178043
F94	73.8292	25.52	24.07	26.96	36	1930347	1.0	0.97	14	1	1933623
F96	142.9482	401.04	394.34	406.95	851	7735594	0.82	0.82	4	1	7848662
F98	98.0718	0.76	0.11	1.29	325	11437090	1.0	0.99	6	1	13653503
F100	143.0816	0.76	0.11	1.29	854	3177292	0.72	0.97	9	1	3505123
F105	120.048	42.46	40.88	44.03	614	919288643	1.0	0.93	16	1	920982121
F107	98.5125	1.16	0.11	2.47	328	375215412	1.0	0.94	129791	1	1286972052
F108	120.0532	42.19	41.28	42.59	617	1265261	1.0	0.91	113	1	1304576
F114	98.9617	347.34	296.91	362.3	330	30460987	0.82	0.91	6	1	30955566
F115	98.9617	369.13	362.3	412.07	330	50514949	0.84	0.83	6	1	20499471
F116	74.0719	0.63	0.11	1.16	39	1123165	0.94	0.87	54	1	1132167
F117	74.0719	169.92	168.34	171.49	39	7452496	1.0	0.99	16	1	7513563
F122	99.0446	27.23	25.65	28.67	335	2912935	1.0	0.92	145	1	3012460
F124	144.0809	28.41	26.96	29.98	862	11381285	0.86	0.88	1045	1	11405285
F130	144.1133	0.63	0.11	1.29	864	7813712	1.0	0.97	83	1	7823712
F140	74.9203	25.65	24.6	26.31	63	865068	1.0	0.99	112	1	887699
F141	120.0891	28.67	27.09	30.25	621	83400061	1.0	0.98	8251	1	83425061
F142	99.0669	187.9	105.49	249.57	338	95648307	1.0	0.87	4	1	120792349
F145	120.0908	248.78	241.69	256.96	622	11369255	1.0	0.97	14	1	11490071
F146	99.0739	424.15	419.29	438.2	340	8637556	1.0	0.78	49	1	8778458
F147	99.0809	27.62	26.04	28.28	342	1485021	1.0	0.82	120	1	1526084
F148	144.9735	2.08	1.68	2.73	873	1675584	1.0	0.96	100	1	1644402
F157	121.0287	0.5	0.11	1.16	626	46947158	1.0	0.98	12305	1	46956158
F158	121.045	42.33	40.88	43.9	627	2736173	1.0	0.78	52	1	2770643
F160	121.0474	42.06	40.49	43.51	628	6323799	0.73	0.94	15	1	6338210
F161	99.9596	297.31	292.32	301.38	344	3138759	1.0	0.95	51	1	3218992
F164	144.9822	0.5	0.11	1.03	877	343262258	1.0	0.91	16	1	857960696
F165	144.9822	1.68	1.03	3.26	877	654033477	1.0	0.95	16	1	1464083708
F166	121.0651	132.73	131.16	134.31	630	3623208	0.9	1.0	225	1	3666101
F167	121.0651	149.01	147.43	150.62	630	2189475	0.87	0.97	85	1	2218645
F168	144.9873	2.21	1.68	2.86	878	3299496	1.0	0.95	406	1	3309501
F171	144.9909	1.95	1.68	3.13	880	1459605	1.0	0.93	90	1	1552046
F173	144.9956	2.21	1.68	3.65	882	1424960	1.0	0.8	217	1	1443313
F174	145.0139	2.21	1.81	3.52	883	676973	1.0	0.88	105	1	733513
F175	75.6083	25.52	23.94	27.09	70	4296799	1.0	0.97	9	1	4322845
F176	121.0925	28.54	27.62	29.19	634	2119440	1.0	0.98	312	1	2205158
F178	75.6096	25.52	23.94	27.09	71	2751994	1.0	0.97	9	1	2753367
F181	75.7198	25.52	23.94	26.96	72	1748974	1.0	0.99	25	1	1758178
F182	121.1015	26.96	25.65	28.41	635	4282075	1.0	0.98	81	1	4304084
F183	100.0874	2.47	1.95	4.05	349	2981320	1.0	0.77	7	1	3007498
F184	75.7211	25.39	24.34	26.96	73	914793	1.0	0.75	100	1	932317
F185	76.0219	25.26	24.6	26.17	74	912301	1.0	0.98	127	1	952784
F186	121.9747	113.67	48.1	157.23	636	99265139	1.0	0.77	5	1	63950069
F187	121.9747	194.77	157.23	234.6	636	36189908	0.98	0.84	4	1	36788872
F188	122.0438	42.59	41.01	44.16	637	47832147	1.0	0.86	15	1	47857147
F189	78.0231	25.78	24.86	26.7	83	986170	1.0	0.99	117	1	1001177
F193	145.1011	28.67	27.36	29.19	888	2455148	1.0	0.92	305	1	2470674
F194	122.0715	0.63	0.11	1.29	640	9339839	1.0	0.99	6	1	9758782
F198	145.1086	0.5	0.11	1.03	889	1004709	1.0	0.88	30	1	1012711
F201	101.0037	42.19	40.62	43.77	353	49246959	1.0	0.93	27	1	49271959
F204	101.0602	0.5	0.24	1.03	354	5350619	1.0	0.92	234	1	5357619
F209	78.9849	43.11	41.54	44.69	95	4556398	0.96	0.73	25	1	4661603
F211	78.9946	42.46	41.28	43.11	97	980944	0.75	0.75	39	1	889836
F212	78.9954	42.59	41.14	43.38	98	1731203	1.0	0.97	33	1	1726316
F213	78.9954	44.16	43.51	45.61	98	1338829	1.0	0.89	20	1	1319368
F215	78.996	42.33	40.88	42.46	99	932486	0.78	0.86	14	1	819371
F216	78.996	43.51	42.59	44.43	99	1706419	0.89	0.71	17	1	1886787
F217	78.9966	42.06	41.28	43.24	100	1183250	1.0	0.74	98	1	1139264
F218	79.0036	41.8	41.28	42.46	101	503512	1.0	0.92	64	1	513516
F219	123.0668	0.5	0.11	1.03	647	937654	1.0	0.88	41	1	945655
F221	123.0808	27.23	25.65	28.8	648	9491133	1.0	0.98	14	1	9896830
F222	101.0714	0.63	0.24	1.95	355	20250179	1.0	0.76	17	1	21932585
F225	79.0113	41.67	41.01	42.33	111	854191	0.76	0.88	15	1	767439
F226	79.0113	43.38	42.59	44.16	111	1604667	0.88	0.9	22	1	1571305
F228	79.0129	42.33	41.93	43.64	113	2861271	1.0	0.89	34	1	2734960
F229	79.0129	44.03	43.64	45.21	113	1632138	1.0	0.95	23	1	1687013
F231	145.9856	3.39	2.86	4.97	895	26209658	0.72	0.87	9	1	27131405
F232	79.0136	41.8	41.01	42.46	114	1648544	1.0	0.93	20	1	1660548
F233	79.0136	43.11	42.46	44.3	114	1913493	1.0	0.8	21	1	1898926
F238	101.1078	0.5	0.11	1.16	356	23857581	1.0	0.95	29	1	24070605
F239	101.1078	2.47	1.95	3.78	356	38450985	1.0	0.78	34	1	38806024
F240	123.1171	26.7	25.12	28.28	651	4482207	1.0	0.95	201	1	4565438
