id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	214
F1	70.0126	33.05	31.6	34.94	2	1867310	1.0	0.98	40	1	1888151
F2	70.36	558.38	554.51	562.26	3	5768975	1.0	0.98	374	1	5795197
F3	70.3611	558.71	554.83	562.26	4	16668567	1.0	0.97	1139	1	16692567
F4	70.4715	558.71	554.83	561.61	5	1380700	1.0	0.98	105	1	1409065
F5	70.4726	558.71	554.83	562.58	6	4553840	1.0	0.99	332	1	4610288
F8	71.0487	480.53	477.69	483.06	13	2186738	1.0	0.97	264	1	2221870
F11	71.0849	717.22	714.71	720.98	21	1720708	0.94	0.83	98	1	1712936
F12	71.4756	508.34	504.45	512.26	24	2417324	1.0	0.99	159	1	2448624
F13	71.9877	825.45	821.7	826.7	28	3508590	0.97	0.97	13	1	3460655
F14	71.9877	828.27	826.7	832.07	28	4271972	1.0	0.87	16	1	4316095
F15	72.0808	33.05	31.6	35.57	29	3105198	1.0	0.88	62	1	3137218
F16	72.0808	37.15	35.57	40.66	29	1871240	0.74	0.87	18	1	1903069
F18	73.0107	53.99	50.19	57.79	35	2372036	1.0	0.96	173	1	2410546
F31	73.2734	44.48	41.63	48.28	40	2665086	0.89	0.81	181	1	2695101
F32	130.9919	828.9	825.45	832.71	898	2558716	1.0	0.84	19	1	2566309
F35	162.0645	53.04	50.83	56.83	1601	52738979	1.0	0.85	4518	1	52758979
F36	162.0674	52.73	51.46	56.51	1602	19297799	1.0	0.78	1689	1	19314799
F37	162.0693	53.67	50.19	57.47	1603	9236594	1.0	0.87	706	1	9248380
F38	162.0714	54.93	51.15	58.75	1604	5776811	1.0	0.86	459	1	5821727
F39	162.0734	53.67	50.83	57.47	1605	4453873	1.0	0.91	392	1	4572780
F41	162.076	38.1	34.31	41.95	1606	5409738	1.0	0.82	336	1	5490932
F42	162.076	55.25	53.67	58.75	1606	1669888	0.89	0.91	218	1	1768377
F43	162.0773	53.67	51.15	57.47	1607	1583834	1.0	0.86	198	1	1630648
F44	162.0793	55.25	52.73	56.83	1608	1457925	1.0	0.79	220	1	1572654
F45	162.0876	52.73	50.83	53.99	1612	926360	1.0	0.97	170	1	941788
F46	162.0903	54.3	53.04	56.83	1613	1080403	1.0	0.96	191	1	1087161
F47	162.095	53.36	52.1	54.3	1615	503238	1.0	0.94	101	1	505874
F48	162.0994	500.18	496.57	504.12	1616	1734115	0.75	0.97	8	1	1771806
F50	162.0994	520.74	518.45	524.65	1616	2754281	0.9	0.98	14	1	2770762
F51	162.0994	570.64	566.79	574.46	1616	9530096	1.0	0.97	31	1	9588927
F54	186.0912	393.35	389.99	397.04	2279	2201964	1.0	1.0	247	1	2226681
F62	186.118	344.38	340.75	348.26	2282	1804670	1.0	0.99	162	1	1837482
F67	186.1316	207.96	204.4	212.0	2284	12066859	1.0	0.95	838	1	12090859
F68	186.1331	289.89	286.04	293.77	2285	2282786	1.0	0.99	188	1	2318197
F69	186.1567	493.28	489.34	497.23	2287	1236356	1.0	0.99	31	1	1268994
F71	186.1852	564.52	560.64	568.41	2288	11050731	1.0	0.97	47	1	11075731
F72	163.0143	828.27	825.45	832.07	1634	2091042	1.0	0.85	59	1	2133914
F100	163.0164	825.77	822.95	827.33	1635	1874545	0.96	0.93	29	1	1697574
F101	163.0164	829.53	827.33	832.07	1635	2120928	1.0	0.93	33	1	2129453
F104	131.0015	827.96	824.2	831.75	904	1717835810	0.83	0.99	7	1	4969170240
F109	186.9939	99.53	98.27	100.48	2290	1019725	0.71	0.72	282	1	1027725
F110	186.9939	830.48	826.7	834.31	2290	34512682	0.83	0.91	583	1	34537682
F116	187.0034	837.88	826.08	893.11	2293	58703401	1.0	0.95	34	1	59780045
F120	187.0078	968.77	837.23	973.49	2294	67081176	0.74	0.71	213	1	67491413
F122	75.0598	753.39	723.18	795.28	109	15457319	1.0	0.86	138	1	15682695
F123	76.0216	48.91	45.11	50.51	119	5869899	0.8	0.84	11	1	5876962
F124	76.0216	53.36	50.51	57.15	119	6963230	0.79	0.98	13	1	6967747
F145	187.0451	45.43	41.63	49.23	2298	2200836	1.0	0.94	150	1	2235715
F147	187.0574	33.05	31.09	34.62	2300	1394276	1.0	0.98	155	1	1405281
F148	187.0626	347.28	344.06	351.26	2303	6149217	1.0	0.99	588	1	6176977
F156	78.1731	655.36	588.15	660.99	130	15762551	1.0	0.91	158	1	15978355
F157	78.1731	669.78	660.99	675.72	130	20774667	1.0	0.8	160	1	5074427
F159	78.1731	800.0	720.04	828.27	130	59171312	1.0	0.78	365	1	59547350
F160	187.0786	326.33	322.65	329.34	2306	1664267	1.0	1.0	173	1	1686778
F161	187.0952	191.94	187.88	194.68	2307	1498373	1.0	0.77	4	1	1522358
F164	187.1008	98.9	95.07	100.48	2308	5166101	1.0	0.97	58	1	5215629
F165	187.1008	103.0	100.48	106.82	2308	6069800	1.0	0.99	62	1	6074444
F166	78.2846	802.21	768.83	826.39	132	13778314	1.0	0.84	12	1	13979708
F167	187.1075	33.99	31.6	37.47	2309	1542384	1.0	0.96	200	1	1548179
F170	131.0066	827.64	824.83	831.43	907	29548811	0.83	0.71	13	1	29570811
F171	187.1095	229.05	227.4	232.04	2310	834119	1.0	0.99	121	1	850741
F172	187.1095	290.53	286.71	294.1	2310	3139616	1.0	0.97	241	1	3173993
F177	131.0081	830.8	830.16	834.63	908	4539276	0.79	0.82	54	1	4753014
F185	187.1117	591.99	588.79	595.84	2311	8023193	0.77	0.88	4	1	8070130
F186	187.114	79.22	75.18	83.24	2312	3229098	1.0	0.98	21	1	3273617
F187	163.0276	827.96	824.2	831.75	1640	1746029758	0.86	0.98	8	1	4132086960
F188	187.1152	98.27	94.75	107.82	2313	6206082	1.0	0.89	238	1	6254359
F190	131.0096	599.03	595.84	601.58	909	3991591	0.93	0.95	3	1	3981939
F197	131.0096	827.96	827.02	830.48	909	2973694	0.91	0.87	5	1	3018581
F200	187.1328	378.42	374.41	382.39	2315	8565107	1.0	0.98	5	1	8901858
F223	79.0543	64.41	60.65	68.21	140	9527517	0.9	0.92	7	1	9591522
F226	187.148	525.63	521.71	529.52	2316	5119600	0.98	0.96	5	1	5179161
F230	187.148	606.95	603.48	610.12	2316	3223397	0.97	0.99	5	1	3212744
